"DOCTORID","FIRSTNAME","LASTNAME","SPECIALTY","PHONE","DATEOFBIRTH","HIREDATE","SALARY","DISTANCEFROMHOSPITAL","DEPARTMENTID"
"1","Linda","Smith","Cardiology","0540085054","11/11/1983","29/06/2008","96615","9.61","19"
"2","David","Jones","Cardiology","0552512773","14/05/1988","16/03/2021","160109","35.87","17"
"3","Linda","Jones","Orthopedics","0574169511","26/12/1970","03/09/2002","194184","9.45","4"
"4","James","Johnson","Orthopedics","0597236226","05/08/1970","02/05/2008","98322","27.97","15"
"5","Emily","Brown","Surgery","0527281619","25/07/2000","29/04/2022","179435","86.88","6"
"6","Linda","Davis","Orthopedics","0579197248","28/10/1968","05/08/2001","114405","12.48","5"
"7","Michael","Taylor","Orthopedics","0545699125","03/08/1992","30/01/2016","71060","97.75","13"
"8","Robert","Moore","Oncology","0576170839","24/02/1961","26/12/2007","112897","72.98","8"
"9","John","Wilson","Surgery","0568902419","07/12/1970","05/08/2018","91531","4.42","17"
"10","David","Wilson","Orthopedics","0533436982","09/08/1982","04/10/2002","164187","53.83","11"
"11","Alice","Johnson","Surgery","0501531960","22/12/1992","16/07/2019","198744","32.26","14"
"12","John","Williams","Oncology","0562605422","28/07/1989","16/04/2015","115565","18.88","17"
"13","Michael","Moore","Oncology","0517511751","23/02/1991","15/08/2011","51107","33.97","9"
"14","Jane","Williams","Orthopedics","0571698984","22/05/1973","27/07/2018","159073","41.59","9"
"15","Jane","Williams","Cardiology","0565942833","06/04/1975","10/03/2020","163767","54.52","2"
"16","Emily","Davis","Neurology","0515156883","09/02/2000","09/12/2020","166457","4.09","19"
"17","Jane","Johnson","Pediatrics","0544392611","05/07/1997","19/08/2017","107653","48.62","14"
"18","James","Davis","Oncology","0553330974","07/02/1973","03/02/1999","112868","28.54","11"
"19","Jane","Johnson","Cardiology","0585434594","06/10/1993","20/11/2014","153441","30.97","6"
"20","David","Brown","Orthopedics","0580030923","15/04/1989","25/01/2012","159396","71.38","2"
"21","Emily","Davis","Neurology","0556461041","01/03/1960","06/10/1985","164214","68.01","15"
"22","Michael","Taylor","Cardiology","0583722928","01/10/1964","09/11/1987","126052","34.1","15"
"23","Michael","Johnson","Orthopedics","0574850759","26/03/1961","27/05/2009","176764","43.06","14"
"24","James","Taylor","Surgery","0511532367","15/05/1975","15/04/1994","101969","88.36","19"
"25","Jane","Williams","Oncology","0568615563","01/01/1962","01/09/2000","190645","99.09","20"
"26","Linda","Williams","Surgery","0582147114","24/12/1977","25/06/2022","181745","38.48","12"
"27","Emily","Williams","Pediatrics","0565311203","17/09/2000","02/08/2022","195032","90.19","7"
"28","Emily","Smith","Surgery","0596465085","28/10/1985","27/01/2014","104791","79.43","6"
"29","James","Taylor","Surgery","0572274101","10/01/1973","23/03/1992","130217","54.93","8"
"30","James","Williams","Surgery","0571758919","28/06/1979","25/03/2007","114869","98.94","10"
"31","Sara","Davis","Cardiology","0550396913","22/03/1974","10/10/2001","74320","67.32","2"
"32","Emily","Smith","Cardiology","0556625872","05/12/1976","31/07/1998","194318","37.96","3"
"33","Emily","Davis","Pediatrics","0520159056","20/04/1992","19/04/2010","138621","99.57","3"
"34","John","Wilson","Orthopedics","0557230347","11/03/1989","12/01/2012","189423","26.74","9"
"35","Michael","Moore","Surgery","0548536873","20/01/1992","01/09/2019","68808","44.05","4"
"36","Emily","Davis","Cardiology","0547841116","09/07/1997","01/04/2022","57659","29.38","20"
"37","Emily","Smith","Oncology","0562826650","23/12/1965","27/11/2017","87128","95.47","11"
"38","Michael","Davis","Oncology","0593184615","12/01/1987","16/10/2014","98712","8.08","3"
"39","Sara","Davis","Surgery","0518976562","11/01/1999","29/01/2020","66572","7.98","20"
"40","Linda","Brown","Orthopedics","0564663511","07/08/1985","03/11/2014","156019","65.58","10"
"41","Sara","Williams","Neurology","0509486723","28/03/1984","26/11/2019","127684","3.17","18"
"42","John","Brown","Neurology","0527753429","25/06/1968","28/08/1997","193824","77.69","19"
"43","Jane","Wilson","Cardiology","0570869417","05/09/1989","30/04/2022","100851","44.66","11"
"44","Sara","Moore","Pediatrics","0526401254","27/11/1983","10/07/2015","181281","54.12","4"
"45","David","Jones","Neurology","0519059190","19/05/1966","19/02/2005","174440","92.83","16"
"46","John","Jones","Orthopedics","0555858074","17/10/1989","15/10/2020","199562","90.43","19"
"47","James","Brown","Pediatrics","0575939519","07/11/1977","30/10/2011","194250","17.11","12"
"48","Robert","Miller","Orthopedics","0513857176","13/04/1995","04/05/2022","140630","52.14","11"
"49","David","Brown","Orthopedics","0588178179","17/04/1964","09/07/2016","67260","97.89","13"
"50","James","Jones","Orthopedics","0545142666","25/11/1968","10/01/1998","163867","19.8","16"
"51","Alice","Moore","Orthopedics","0562815050","15/11/1987","06/09/2008","194100","5.73","17"
"52","Jane","Davis","Surgery","0585693105","05/01/1965","12/07/2020","102255","78.24","8"
"53","Robert","Davis","Pediatrics","0544147534","15/01/1960","19/12/1999","100459","80.27","2"
"54","Jane","Smith","Oncology","0550504168","04/12/1985","13/12/2014","85365","95.32","17"
"55","James","Wilson","Neurology","0598850241","06/08/1968","29/10/1998","115347","75.51","17"
"56","John","Moore","Neurology","0583115752","27/08/1986","21/01/2010","144104","46.56","17"
"57","Michael","Taylor","Neurology","0572324035","04/11/1971","01/12/2015","154121","44.87","6"
"58","John","Wilson","Cardiology","0553801834","16/09/1964","15/11/2012","182129","36.31","16"
"59","Emily","Taylor","Pediatrics","0501447892","28/08/1982","09/08/2015","68496","32.1","11"
"60","Sara","Taylor","Neurology","0544413410","09/09/1993","06/01/2012","157547","24.21","1"
"61","David","Taylor","Surgery","0524014046","18/04/1970","04/07/1998","177704","90.66","8"
"62","John","Davis","Cardiology","0582900621","24/08/1996","14/04/2015","63296","67.98","10"
"63","James","Davis","Oncology","0504717410","08/09/1993","14/07/2020","156683","91.18","11"
"64","James","Taylor","Oncology","0581831096","02/08/1964","12/05/2010","57122","96.17","20"
