DoctorID,FirstName,LastName,Specialty,Phone,DateOfBirth,HireDate,Salary,DistanceFromHospital,DepartmentID
1,Linda,Smith,Cardiology,0540085054,1983-11-11,2008-06-29,96615,9.61,19
2,David,Jones,Cardiology,0552512773,1988-05-14,2021-03-16,160109,35.87,17
3,Linda,Jones,Orthopedics,0574169511,1970-12-26,2002-09-03,194184,9.45,4
4,James,Johnson,Orthopedics,0597236226,1970-08-05,2008-05-02,98322,27.97,15
5,Emily,Brown,Surgery,0527281619,2000-07-25,2022-04-29,179435,86.88,6
6,Linda,Davis,Orthopedics,0579197248,1968-10-28,2001-08-05,114405,12.48,5
7,Michael,Taylor,Orthopedics,0545699125,1992-08-03,2016-01-30,71060,97.75,13
8,Robert,Moore,Oncology,0576170839,1961-02-24,2007-12-26,112897,72.98,8
9,John,Wilson,Surgery,0568902419,1970-12-07,2018-08-05,91531,4.42,17
10,David,Wilson,Orthopedics,0533436982,1982-08-09,2002-10-04,164187,53.83,11
11,Alice,Johnson,Surgery,0501531960,1992-12-22,2019-07-16,198744,32.26,14
12,John,Williams,Oncology,0562605422,1989-07-28,2015-04-16,115565,18.88,17
13,Michael,Moore,Oncology,0517511751,1991-02-23,2011-08-15,51107,33.97,9
14,Jane,Williams,Orthopedics,0571698984,1973-05-22,2018-07-27,159073,41.59,9
15,Jane,Williams,Cardiology,0565942833,1975-04-06,2020-03-10,163767,54.52,2
16,Emily,Davis,Neurology,0515156883,2000-02-09,2020-12-09,166457,4.09,19
17,Jane,Johnson,Pediatrics,0544392611,1997-07-05,2017-08-19,107653,48.62,14
18,James,Davis,Oncology,0553330974,1973-02-07,1999-02-03,112868,28.54,11
19,Jane,Johnson,Cardiology,0585434594,1993-10-06,2014-11-20,153441,30.97,6
20,David,Brown,Orthopedics,0580030923,1989-04-15,2012-01-25,159396,71.38,2
21,Emily,Davis,Neurology,0556461041,1960-03-01,1985-10-06,164214,68.01,15
22,Michael,Taylor,Cardiology,0583722928,1964-10-01,1987-11-09,126052,34.1,15
23,Michael,Johnson,Orthopedics,0574850759,1961-03-26,2009-05-27,176764,43.06,14
24,James,Taylor,Surgery,0511532367,1975-05-15,1994-04-15,101969,88.36,19
25,Jane,Williams,Oncology,0568615563,1962-01-01,2000-09-01,190645,99.09,20
26,Linda,Williams,Surgery,0582147114,1977-12-24,2022-06-25,181745,38.48,12
27,Emily,Williams,Pediatrics,0565311203,2000-09-17,2022-08-02,195032,90.19,7
28,Emily,Smith,Surgery,0596465085,1985-10-28,2014-01-27,104791,79.43,6
29,James,Taylor,Surgery,0572274101,1973-01-10,1992-03-23,130217,54.93,8
30,James,Williams,Surgery,0571758919,1979-06-28,2007-03-25,114869,98.94,10
31,Sara,Davis,Cardiology,0550396913,1974-03-22,2001-10-10,74320,67.32,2
32,Emily,Smith,Cardiology,0556625872,1976-12-05,1998-07-31,194318,37.96,3
33,Emily,Davis,Pediatrics,0520159056,1992-04-20,2010-04-19,138621,99.57,3
34,John,Wilson,Orthopedics,0557230347,1989-03-11,2012-01-12,189423,26.74,9
35,Michael,Moore,Surgery,0548536873,1992-01-20,2019-09-01,68808,44.05,4
36,Emily,Davis,Cardiology,0547841116,1997-07-09,2022-04-01,57659,29.38,20
37,Emily,Smith,Oncology,0562826650,1965-12-23,2017-11-27,87128,95.47,11
38,Michael,Davis,Oncology,0593184615,1987-01-12,2014-10-16,98712,8.08,3
39,Sara,Davis,Surgery,0518976562,1999-01-11,2020-01-29,66572,7.98,20
40,Linda,Brown,Orthopedics,0564663511,1985-08-07,2014-11-03,156019,65.58,10
41,Sara,Williams,Neurology,0509486723,1984-03-28,2019-11-26,127684,3.17,18
42,John,Brown,Neurology,0527753429,1968-06-25,1997-08-28,193824,77.69,19
43,Jane,Wilson,Cardiology,0570869417,1989-09-05,2022-04-30,100851,44.66,11
44,Sara,Moore,Pediatrics,0526401254,1983-11-27,2015-07-10,181281,54.12,4
45,David,Jones,Neurology,0519059190,1966-05-19,2005-02-19,174440,92.83,16
46,John,Jones,Orthopedics,0555858074,1989-10-17,2020-10-15,199562,90.43,19
47,James,Brown,Pediatrics,0575939519,1977-11-07,2011-10-30,194250,17.11,12
48,Robert,Miller,Orthopedics,0513857176,1995-04-13,2022-05-04,140630,52.14,11
49,David,Brown,Orthopedics,0588178179,1964-04-17,2016-07-09,67260,97.89,13
50,James,Jones,Orthopedics,0545142666,1968-11-25,1998-01-10,163867,19.8,16
51,Alice,Moore,Orthopedics,0562815050,1987-11-15,2008-09-06,194100,5.73,17
